storm_id,datetime,storm_centroid_lat,storm_centroid_long,storm_area_km2
0,2025-10-17 11:30:00.00,1.32,103.8408,1.99
1,2025-10-17 11:45:00.00,1.337,103.875556,5.96
1,2025-10-17 12:00:00.00,1.356389,103.891389,9.62
1,2025-10-17 12:15:00.00,1.356,103.871944,4.5
2,2025-10-17 12:15:00.00,1.376111,103.889167,2.01
3,2025-10-17 13:15:00.00,1.33,103.692,9.53
3,2025-10-17 13:30:00.00,1.339167,103.691,2.34
4,2025-10-17 13:30:00.00,1.273611,103.716111,2.67
4,2025-10-17 13:45:00.00,1.282611111,103.709,1.33
6,2025-10-17 14:30:00.00,1.2961111,103.8691667,1.38
7,2025-10-17 14:30:00.00,1.3369444,103.87578,14.41
8,2025-10-17 14:45:00.00,1.328,103.860222,4.61
9,2025-10-17 14:45:00.00,1.34,103.879,1.38
7,2025-10-17 14:45:00.00,1.353,103.9012778,6.13
5,2025-10-17 14:45:00.00,1.3059444,103.825778,5.67
10,2025-10-17 15:00:00.00,1.4158333,103.640556,11.5
8,2025-10-17 15:00:00.00,1.31805556,103.81733,10.24
9,2025-10-17 15:00:00.00,1.3477222,103.90144,7.63
10,2025-10-17 15:15:00.00,1.403,103.604667,11.63
11,2025-10-17 15:15:00.00,1.4658333,103.62333,7.37
11,2025-10-17 15:30:00.00,1.47041667,103.6364444,9.61
12,2025-10-17 15:45:00.00,1.47,103.763,4.06
13,2025-10-17 15:45:00.00,1.4338889,104.002778,4.2
12,2025-10-17 16:00:00.00,1.4569444,103.7480556,4.97
